降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
0,25.5,16.2,8,2,4.0,15.3
0,26.9,15.3,7,1,0.8,17.3
0,25.8,16.5,8,4,9.8,16.9
2.0,22.2,17.3,8,10,10.0,19.4
0.0,28.4,16.4,2,4,6.5,18.1
19.0,17.3,14.6,0,4,10.0,16.1
0.5,22.5,11.0,15,2,4.3,10.9
0,22.1,11.1,8,2,3.8,9.0
0.0,23.0,13.9,8,4,10.0,13.3
1.0,25.7,17.7,8,4,10.0,21.1
0.5,28.1,20.2,6,2,5.5,22.1
0.0,26.5,19.1,0,4,10.0,19.3
0,28.7,16.8,9,2,4.5,14.5
0,26.2,13.8,8,2,4.0,9.9
0.0,26.5,15.2,8,3,7.5,13.1
24.0,21.7,16.4,8,10,10.0,18.7
0.0,28.2,15.8,7,2,5.8,18.5
2.0,20.1,18.7,2,10,10.0,20.3
54.5,19.2,13.4,14,10,10.0,19.9
3.0,15.4,10.9,1,4,10.0,13.2
0.5,14.8,10.7,15,4,10.0,13.1
1.0,18.1,12.8,15,4,10.0,15.5
0.0,23.7,15.3,7,4,8.5,18.0
0,26.5,15.8,7,2,6.3,18.0
0,26.5,18.1,7,3,9.3,18.2
0.5,24.3,18.6,7,4,9.5,21.5
0.0,26.6,18.4,15,4,9.8,20.3
9.5,25.2,12.9,7,4,8.8,15.1
0,27.4,14.1,8,2,3.5,15.3
0,27.9,17.4,8,3,7.0,18.2
0.0,24.5,18.8,8,4,8.0,18.3
4.0,21.2,18.5,6,10,10.0,21.2
0.0,26.6,18.9,7,4,10.0,23.4
0.0,28.5,20.9,7,3,9.8,22.5
0.0,27.6,20.6,7,4,10.0,22.7
0,29.9,20.0,8,3,9.3,22.8
6.5,28.4,18.8,4,4,10.0,23.1
0.5,27.2,17.4,4,2,7.5,17.3
0.0,28.3,19.7,8,2,5.8,20.7
0,31.0,20.4,8,3,7.3,21.6
0.0,31.4,21.8,8,2,4.8,21.5
10.0,30.5,22.7,8,4,9.5,26.8
5.5,31.6,22.9,8,4,9.0,28.3
35.5,24.3,19.1,2,0,10.0,25.3
5.5,24.0,19.9,8,10,10.0,25.8
0,32.6,21.0,7,3,9.5,26.5
0.0,30.5,21.8,8,4,7.3,22.0
0,28.8,19.3,6,2,4.0,18.1
2.0,25.5,19.6,9,4,10.0,21.6
50.0,19.8,18.0,15,0,10.0,21.4
0,28.7,17.1,7,4,6.5,20.7
2.5,26.5,17.9,6,4,10.0,21.6
27.5,21.0,17.6,15,10,10.0,21.2
3.0,27.2,18.0,6,4,9.3,22.9
0.0,26.8,19.3,2,4,9.5,22.9
14.5,23.3,17.9,6,4,10.0,22.4
0.0,30.9,19.7,0,4,9.0,26.3
0.0,29.3,22.2,7,4,10.0,27.0
30.0,24.9,20.5,7,10,10.0,25.8
0,29.8,20.1,7,2,3.5,21.5
15.5,27.7,22.2,8,4,9.8,27.7
21.0,26.7,22.7,8,4,10.0,28.5
0.5,30.8,21.7,8,2,5.5,23.4
6.0,28.7,20.3,4,4,10.0,23.3
25.5,27.7,20.0,8,4,10.0,26.4
